State,Code,COOL_TOTAL_YR,HEAT_TOTAL_YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,TOTAL,Avg_DegF_2012 https://www.ncdc.noaa.gov/cag/statewide/time-series/1/tavg/ann/12/2012-2020?base_prd=true&begbaseyear=1901&endbaseyear=2000,Avg_Deg_C_2012,2012,2020,future?
SOUTH CAROLINA,SC,1976,2293,0,2,57,71,264,306,542,402,271,61,0,0,1976,518,439,162,129,16,5,0,0,16,139,433,436,2293,64.5,18.05555556,,,
SOUTH DAKOTA,SD,1029,6481,0,0,7,10,47,215,436,229,85,0,0,0,1029,1187,1111,532,446,221,37,0,38,159,581,872,1297,6481,49.3,9.611111111,,,
TENNESSEE,TN,1536,3337,0,0,21,31,205,282,478,334,184,1,0,0,1536,690,598,239,206,40,19,0,3,62,292,577,611,3337,60.3,15.72222222,,,
TEXAS,TX,3134,1452,8,27,122,208,360,524,592,607,395,182,68,41,3134,357,317,112,26,4,0,0,0,0,86,187,363,1452,67.8,19.88888889,,,
UTAH,UT,1003,5482,0,0,0,16,29,191,342,321,99,5,0,0,1003,1027,909,622,435,224,48,0,0,42,435,683,1057,5482,50.9,10.5,,,
VERMONT,VT,338,7177,0,0,0,3,18,53,136,112,16,0,0,0,338,1325,1128,813,641,248,136,45,63,255,470,928,1125,7177,45.8,7.666666667,,,
VIRGINIA,VA,1349,3739,0,0,5,8,161,228,449,321,159,18,0,0,1349,789,666,315,304,25,9,0,0,42,263,654,672,3739,57.6,14.22222222,,,
WASHINGTON,WA,274,5545,0,0,0,0,5,12,92,128,37,0,0,0,274,870,722,728,480,361,247,55,37,142,439,634,830,5545,47.1,8.388888889,,,
WEST VIRGINIA,WV,1041,4547,0,0,8,2,140,181,358,228,120,4,0,0,1041,903,793,387,384,51,23,0,0,100,370,741,795,4547,54.3,12.38888889,,,
WISCONSIN,WI,754,6587,0,0,2,0,39,162,360,144,47,0,0,0,754,1273,1067,578,577,193,64,1,53,229,568,861,1123,6587,47.4,8.555555556,,,
WYOMING,WY,513,7078,0,0,0,0,7,107,218,155,26,0,0,0,513,1166,1177,716,566,403,80,0,14,186,675,837,1258,7078,44.8,7.111111111,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16%,,,
